cart=0 steps home=0 steps raw=0 active=no ena=OFF enaPin=LOW dir=CW dir26=LOW dir33=HIGH commanded=+0 steps/s current=+0 steps/s homeStop=clear homed=no homing=no travel=0 steps centerHome=0 steps limits=[0,0]
mode=MANUAL telemetry=OFF sensor=online ack=yes rawRead=yes i2c=0 readUs=297 maxReadUs=661 sample=yes angleRef=no(UNSET) cartCenter=0 steps angle=0.0000 rad (0.00 deg) cartVel=0.00 steps/s angleVel=0.0000 rad/s sampleTs=62369185 K=[-2.172154 -2.726762 -297368.531250 -31334.011719]
Angle log enabled: buffer=2048 samples at target 250 Hz
Angle log: ON samples=2048/2048 wrapped=yes
Angle log timing: teacherTimerCallbacks=3118 teacherTaskWakes=3118 teacherTaskNotifications=3118
Angle log session: start_us=67864416 stop_us=0 duration_us=12472719
Angle log disabled
ANGLE_LOG_SESSION_HEADER,start_us,stop_us,duration_us,teacher_timer_callbacks_at_stop,teacher_task_wakes_at_stop,teacher_task_notifications_at_stop,samples
ANGLE_LOG_SESSION,67864416,88744433,20880017,5220,5220,5220,2048
ANGLE_LOG_DIAG_HEADER,teacher_timer_callbacks,teacher_task_wakes,teacher_task_notifications,samples
ANGLE_LOG_DIAG,5220,5220,5220,2048
ANGLE_LOG_HEADER,index,timestamp_us,sample_dt_us,angle_raw_counts
ANGLE_LOG,183,81288108,3973,3503
ANGLE_LOG,184,81292108,4000,3503
ANGLE_LOG,185,81296108,4000,3503
ANGLE_LOG,186,81300108,4000,3503
ANGLE_LOG,187,81304135,4027,3503
ANGLE_LOG,188,81308108,3973,3503
ANGLE_LOG,189,81312108,4000,3503
ANGLE_LOG,190,81316108,4000,3503
ANGLE_LOG,191,81320108,4000,3503
ANGLE_LOG,192,81324135,4027,3503
ANGLE_LOG,193,81328108,3973,3503
ANGLE_LOG,194,81332108,4000,3503
ANGLE_LOG,195,81336108,4000,3503
ANGLE_LOG,196,81340108,4000,3503
ANGLE_LOG,197,81344135,4027,3503
ANGLE_LOG,198,81348108,3973,3503
ANGLE_LOG,199,81352108,4000,3503
ANGLE_LOG,200,81356108,4000,3503
ANGLE_LOG,201,81360108,4000,3503
ANGLE_LOG,202,81364135,4027,3503
ANGLE_LOG,203,81368108,3973,3503
ANGLE_LOG,204,81372108,4000,3503
ANGLE_LOG,205,81376108,4000,3503
ANGLE_LOG,206,81380108,4000,3503
ANGLE_LOG,207,81384135,4027,3503
ANGLE_LOG,208,81388108,3973,3503
ANGLE_LOG,209,81392108,4000,3503
ANGLE_LOG,210,81396108,4000,3503
ANGLE_LOG,211,81400108,4000,3503
ANGLE_LOG,212,81404135,4027,3503
ANGLE_LOG,213,81408108,3973,3503
ANGLE_LOG,214,81412108,4000,3503
ANGLE_LOG,215,81416108,4000,3503
ANGLE_LOG,216,81420108,4000,3503
ANGLE_LOG,217,81424135,4027,3503
ANGLE_LOG,218,81428108,3973,3503
ANGLE_LOG,219,81432108,4000,3503
ANGLE_LOG,220,81436108,4000,3503
ANGLE_LOG,221,81440108,4000,3503
ANGLE_LOG,222,81444135,4027,3503
ANGLE_LOG,223,81448108,3973,3503
ANGLE_LOG,224,81452108,4000,3503
ANGLE_LOG,225,81456108,4000,3503
ANGLE_LOG,226,81460108,4000,3503
ANGLE_LOG,227,81464135,4027,3503
ANGLE_LOG,228,81468108,3973,3503
ANGLE_LOG,229,81472108,4000,3503
ANGLE_LOG,230,81476108,4000,3503
ANGLE_LOG,231,81480108,4000,3503
ANGLE_LOG,232,81484135,4027,3503
ANGLE_LOG,233,81488108,3973,3503
ANGLE_LOG,234,81492108,4000,3503
ANGLE_LOG,235,81496108,4000,3503
ANGLE_LOG,236,81500108,4000,3503
ANGLE_LOG,237,81504135,4027,3503
ANGLE_LOG,238,81508108,3973,3503
ANGLE_LOG,239,81512108,4000,3503
ANGLE_LOG,240,81516108,4000,3503
ANGLE_LOG,241,81520108,4000,3503
ANGLE_LOG,242,81524135,4027,3503
ANGLE_LOG,243,81528108,3973,3503
ANGLE_LOG,244,81532108,4000,3503
ANGLE_LOG,245,81536108,4000,3503
ANGLE_LOG,246,81540108,4000,3503
ANGLE_LOG,247,81544135,4027,3503
ANGLE_LOG,248,81548108,3973,3503
ANGLE_LOG,249,81552108,4000,3503
ANGLE_LOG,250,81556108,4000,3503
ANGLE_LOG,251,81560108,4000,3503
ANGLE_LOG,252,81564135,4027,3503
ANGLE_LOG,253,81568108,3973,3503
ANGLE_LOG,254,81572108,4000,3503
ANGLE_LOG,255,81576108,4000,3503
ANGLE_LOG,256,81580108,4000,3503
ANGLE_LOG,257,81584135,4027,3503
ANGLE_LOG,258,81588108,3973,3503
ANGLE_LOG,259,81592108,4000,3503
ANGLE_LOG,260,81596108,4000,3503
ANGLE_LOG,261,81600108,4000,3503
ANGLE_LOG,262,81604135,4027,3503
ANGLE_LOG,263,81608108,3973,3503
ANGLE_LOG,264,81612108,4000,3503
ANGLE_LOG,265,81616108,4000,3503
ANGLE_LOG,266,81620108,4000,3503
ANGLE_LOG,267,81624135,4027,3503
ANGLE_LOG,268,81628108,3973,3503
ANGLE_LOG,269,81632108,4000,3503
ANGLE_LOG,270,81636108,4000,3503
ANGLE_LOG,271,81640108,4000,3503
ANGLE_LOG,272,81644135,4027,3503
ANGLE_LOG,273,81648108,3973,3503
ANGLE_LOG,274,81652108,4000,3503
ANGLE_LOG,275,81656108,4000,3503
ANGLE_LOG,276,81660108,4000,3503
ANGLE_LOG,277,81664135,4027,3503
ANGLE_LOG,278,81668108,3973,3503
ANGLE_LOG,279,81672108,4000,3503
ANGLE_LOG,280,81676108,4000,3503
ANGLE_LOG,281,81680108,4000,3503
ANGLE_LOG,282,81684135,4027,3503
ANGLE_LOG,283,81688108,3973,3503
ANGLE_LOG,284,81692108,4000,3503
ANGLE_LOG,285,81696108,4000,3503
ANGLE_LOG,286,81700108,4000,3503
ANGLE_LOG,287,81704135,4027,3503
ANGLE_LOG,288,81708108,3973,3503
ANGLE_LOG,289,81712108,4000,3503
ANGLE_LOG,290,81716108,4000,3503
ANGLE_LOG,291,81720108,4000,3503
ANGLE_LOG,292,81724135,4027,3503
ANGLE_LOG,293,81728108,3973,3503
ANGLE_LOG,294,81732108,4000,3503
ANGLE_LOG,295,81736108,4000,3503
ANGLE_LOG,296,81740108,4000,3503
ANGLE_LOG,297,81744135,4027,3503
ANGLE_LOG,298,81748108,3973,3503
ANGLE_LOG,299,81752108,4000,3503
ANGLE_LOG,300,81756108,4000,3503
ANGLE_LOG,301,81760108,4000,3503
ANGLE_LOG,302,81764135,4027,3503
ANGLE_LOG,303,81768108,3973,3503
ANGLE_LOG,304,81772108,4000,3503
ANGLE_LOG,305,81776108,4000,3503
ANGLE_LOG,306,81780108,4000,3503
ANGLE_LOG,307,81784135,4027,3503
ANGLE_LOG,308,81788108,3973,3503
ANGLE_LOG,309,81792108,4000,3503
ANGLE_LOG,310,81796108,4000,3503
ANGLE_LOG,311,81800108,4000,3503
ANGLE_LOG,312,81804135,4027,3503
ANGLE_LOG,313,81808108,3973,3503
ANGLE_LOG,314,81812108,4000,3503
ANGLE_LOG,315,81816108,4000,3503
ANGLE_LOG,316,81820108,4000,3503
ANGLE_LOG,317,81824135,4027,3503
ANGLE_LOG,318,81828108,3973,3503
ANGLE_LOG,319,81832108,4000,3503
ANGLE_LOG,320,81836108,4000,3503
ANGLE_LOG,321,81840108,4000,3503
ANGLE_LOG,322,81844135,4027,3503
ANGLE_LOG,323,81848108,3973,3503
ANGLE_LOG,324,81852108,4000,3503
ANGLE_LOG,325,81856108,4000,3503
ANGLE_LOG,326,81860108,4000,3503
ANGLE_LOG,327,81864135,4027,3503
ANGLE_LOG,328,81868108,3973,3503
ANGLE_LOG,329,81872108,4000,3503
ANGLE_LOG,330,81876108,4000,3503
ANGLE_LOG,331,81880108,4000,3503
ANGLE_LOG,332,81884135,4027,3503
ANGLE_LOG,333,81888108,3973,3503
ANGLE_LOG,334,81892108,4000,3503
ANGLE_LOG,335,81896108,4000,3503
ANGLE_LOG,336,81900108,4000,3503
ANGLE_LOG,337,81904135,4027,3503
ANGLE_LOG,338,81908108,3973,3503
ANGLE_LOG,339,81912108,4000,3503
ANGLE_LOG,340,81916108,4000,3503
ANGLE_LOG,341,81920108,4000,3503
ANGLE_LOG,342,81924135,4027,3503
ANGLE_LOG,343,81928108,3973,3503
ANGLE_LOG,344,81932108,4000,3503
